Id,Name,Tier__c,CustomerPriority__c,SLA__c,Industry,Region__c,ContractStatus__c,ContractStartDate__c,ContractEndDate__c,AnnualContractValue__c,ProductLine__c,CreatedDate,BillingCountry,NumberOfEmployees,Website,AccountSource
001000000000000022,Standard Micro Inc,Enterprise,Medium,Bronze,Retail,LATAM,Active,2026-09-05,2027-09-05,894872,Edge Connect,2021-10-21,UK,39244,www.standard.com,Inbound
001000000000000023,GraniteSoft Group,Enterprise,Low,Silver,Logistics,EMEA,Active,2026-10-06,2027-10-06,129534,Edge Connect,2024-09-17,US,50616,www.granitesoft.com,Outbound
001000000000000024,CrownCore Co,SMB,Medium,Bronze,Logistics,NA-East,Active,2025-07-31,2026-07-31,54554,Data Sync,2022-09-23,BR,42756,www.crowncore.com,Inbound
001000000000000025,TitanWorks Corp,Enterprise,Medium,Silver,Energy,NA-East,Active,2025-08-06,2026-08-06,708052,Edge Connect,2020-06-10,SG,9564,www.titanworks.com,Outbound
001000000000000026,PacificWave Corp,SMB,Low,Bronze,Manufacturing,NA-East,Active,2026-08-23,2027-08-23,59807,Data Sync,2022-03-12,IN,54331,www.pacificwave.com,Partner
001000000000000027,PacificWave Group,SMB,Medium,Silver,Biotech,NA-East,Active,2025-07-23,2026-07-23,24891,Analytics Suite,2023-10-05,AU,25504,www.pacificwave.com,Inbound
001000000000000028,TitanSphere Holdings,Enterprise,High,Silver,Logistics,APAC,Active,2025-09-04,2026-09-04,426263,Analytics Suite,2020-01-09,DE,42662,www.titansphere.com,Outbound
001000000000000029,CascadeDynamics Solutions,SMB,Low,Silver,Biotech,LATAM,Active,2026-02-18,2027-02-18,17737,Analytics Suite,2020-07-22,SG,5369,www.cascadedynamics.com,Outbound
001000000000000030,SableAnalytics Solutions,Enterprise,Medium,Silver,Energy,NA-East,Active,2025-12-06,2026-12-06,397971,Edge Connect,2020-02-01,FR,14087,www.sableanalytics.com,Partner
001000000000000031,MapleLink Solutions,SMB,High,Gold,Manufacturing,NA-West,Active,2025-08-21,2026-08-21,49596,AI Studio,2020-01-20,FR,2905,www.maplelink.com,Event
001000000000000032,LarkWave Inc,Enterprise,High,Silver,Media,NA-East,Expired,2025-05-25,2026-05-25,295159,Core Platform,2023-10-01,JP,53732,www.larkwave.com,Outbound
001000000000000033,CrownVision LLC,Enterprise,High,Silver,Biotech,NA-East,Active,2026-12-15,2027-12-15,913873,AI Studio,2021-02-23,BR,9964,www.crownvision.com,Event
001000000000000034,SilverMetric Industries,SMB,Low,Silver,Education,NA-West,Active,2025-07-31,2026-07-31,63769,Analytics Suite,2023-05-25,JP,36853,www.silvermetric.com,Event
001000000000000035,IronCore Co,SMB,High,Gold,Media,EMEA,Active,2026-03-12,2027-03-12,45772,Data Sync,2020-03-10,IN,26450,www.ironcore.com,Outbound
001000000000000036,GraniteLabs Co,Enterprise,Low,Platinum,Energy,NA-East,Active,2026-05-02,2027-05-02,713108,Edge Connect,2022-09-20,SG,23629,www.granitelabs.com,Outbound
001000000000000037,VanguardSignal Corp,Enterprise,High,Silver,Education,NA-East,Active,2025-07-22,2026-07-22,395527,Core Platform,2021-09-05,US,13302,www.vanguardsignal.com,Inbound
001000000000000038,Helios Labs LLC,SMB,High,Gold,Education,APAC,Active,2025-08-20,2026-08-20,13223,Core Platform,2024-02-24,UK,55462,www.helios.com,Event
001000000000000039,CedarStream Systems,Enterprise,Medium,Gold,Technology,LATAM,Active,2026-09-28,2027-09-28,1110399,AI Studio,2019-08-25,FR,30357,www.cedarstream.com,Event
001000000000000040,OnyxPulse Holdings,SMB,Low,Gold,Media,LATAM,Active,2025-07-19,2026-07-19,28022,Analytics Suite,2024-08-07,BR,50137,www.onyxpulse.com,Outbound
001000000000000041,TitanVector Partners,Enterprise,Low,Bronze,Retail,LATAM,Expired,2024-09-21,2025-09-21,785824,Edge Connect,2023-01-27,IN,37548,www.titanvector.com,Outbound
001000000000000042,MapleLogic Industries,SMB,High,Silver,Financial Services,LATAM,Active,2026-08-18,2027-08-18,47148,Edge Connect,2023-11-05,DE,43104,www.maplelogic.com,Outbound
001000000000000043,PioneerLabs Solutions,SMB,Low,Gold,Public Sector,NA-West,Active,2025-07-26,2026-07-26,59081,AI Studio,2025-04-27,FR,8024,www.pioneerlabs.com,Inbound
001000000000000044,CrownFabric Systems,SMB,Low,Gold,Financial Services,NA-East,Active,2025-11-05,2026-11-05,45335,Data Sync,2020-06-18,JP,38947,www.crownfabric.com,Event
001000000000000045,QuantumVision Group,SMB,Medium,Silver,Media,APAC,Active,2025-09-29,2026-09-29,48839,AI Studio,2019-12-20,AU,51796,www.quantumvision.com,Partner
001000000000000046,CedarTech Solutions,Enterprise,Medium,Platinum,Healthcare,NA-East,Active,2025-08-20,2026-08-20,685722,Analytics Suite,2025-02-16,AU,10727,www.cedartech.com,Inbound
001000000000000047,RidgeSphere LLC,Enterprise,Medium,Gold,Healthcare,LATAM,Active,2025-08-05,2026-08-05,234326,Edge Connect,2020-11-08,IN,11060,www.ridgesphere.com,Event
001000000000000048,GraniteWave Industries,Enterprise,High,Gold,Biotech,NA-East,Active,2026-03-18,2027-03-18,232108,Data Sync,2025-01-15,US,32502,www.granitewave.com,Inbound
001000000000000049,KeystoneWorks Co,SMB,Medium,Gold,Logistics,APAC,Active,2026-04-20,2027-04-20,49149,Data Sync,2019-11-30,DE,45722,www.keystoneworks.com,Inbound
001000000000000050,AtlasFabric LLC,Enterprise,Medium,Bronze,Media,EMEA,Active,2026-06-07,2027-06-07,592963,Core Platform,2021-02-16,UK,45469,www.atlasfabric.com,Inbound
001000000000000051,PioneerCore Global,SMB,High,Silver,Healthcare,NA-East,Expired,2024-12-08,2025-12-08,60970,AI Studio,2024-08-13,AU,15532,www.pioneercore.com,Outbound
001000000000000052,NovaTech Co,SMB,High,Silver,Healthcare,APAC,Active,2025-09-23,2026-09-23,40543,Data Sync,2025-04-24,SG,7791,www.novatech.com,Partner
001000000000000053,AtlasFabric Technologies,SMB,Medium,Gold,Logistics,NA-West,Active,2025-12-19,2026-12-19,32764,Data Sync,2025-02-08,AU,51728,www.atlasfabric.com,Partner
001000000000000054,PioneerGrid Solutions,Enterprise,Medium,Silver,Telecom,APAC,Expired,2025-01-29,2026-01-29,1176756,Data Sync,2020-07-05,UK,50705,www.pioneergrid.com,Inbound
001000000000000055,BrightCloud Inc,SMB,Low,Bronze,Technology,NA-East,Active,2025-11-02,2026-11-02,24461,Core Platform,2020-07-13,AU,1256,www.brightcloud.com,Outbound
001000000000000056,CobaltStream Co,SMB,High,Bronze,Technology,NA-East,Active,2025-09-25,2026-09-25,29425,Data Sync,2025-05-12,DE,42816,www.cobaltstream.com,Inbound
001000000000000057,RidgeStream Partners,Enterprise,High,Gold,Telecom,APAC,Expired,2024-11-30,2025-11-30,201994,Edge Connect,2019-12-02,BR,42266,www.ridgestream.com,Event
001000000000000058,BeaconVector LLC,SMB,Medium,Platinum,Public Sector,EMEA,Expired,2024-12-25,2025-12-25,8049,Core Platform,2022-09-07,UK,57779,www.beaconvector.com,Inbound
001000000000000059,NorthPulse Group,Enterprise,High,Bronze,Public Sector,NA-East,Active,2025-11-10,2026-11-10,814653,Data Sync,2023-06-24,JP,26425,www.northpulse.com,Event
001000000000000060,QuantumStream Systems,SMB,High,Silver,Education,NA-East,Active,2025-08-22,2026-08-22,18817,Edge Connect,2024-05-21,BR,41046,www.quantumstream.com,Inbound
001000000000000061,VertexFabric Systems,Enterprise,High,Silver,Telecom,NA-East,Active,2025-07-31,2026-07-31,1050254,Core Platform,2020-04-29,FR,20734,www.vertexfabric.com,Outbound
001000000000000062,GraniteVision Group,Enterprise,Low,Gold,Energy,APAC,Active,2026-02-18,2027-02-18,767930,Core Platform,2020-09-13,DE,11270,www.granitevision.com,Outbound
001000000000000063,RidgeMicro Systems,Enterprise,Low,Bronze,Biotech,EMEA,Active,2025-09-22,2026-09-22,443381,AI Studio,2021-07-25,AU,43392,www.ridgemicro.com,Inbound
001000000000000064,BrightVision Industries,Enterprise,Medium,Gold,Technology,EMEA,Active,2026-04-06,2027-04-06,734496,Data Sync,2023-02-13,JP,17921,www.brightvision.com,Inbound
001000000000000065,ApexMetric Technologies,Enterprise,Medium,Silver,Energy,LATAM,Active,2026-11-21,2027-11-21,679920,Data Sync,2019-08-14,JP,48580,www.apexmetric.com,Inbound
001000000000000066,IronPulse Group,SMB,High,Silver,Retail,LATAM,Active,2025-08-25,2026-08-25,11468,Analytics Suite,2020-01-07,BR,41758,www.ironpulse.com,Outbound
001000000000000067,BlueLogic Inc,Enterprise,Medium,Gold,Energy,LATAM,Expired,2025-05-14,2026-05-14,976997,Core Platform,2024-05-16,FR,11282,www.bluelogic.com,Inbound
001000000000000068,IronSoft Industries,Enterprise,Medium,Silver,Manufacturing,APAC,Active,2026-06-25,2027-06-25,388773,Core Platform,2022-06-15,SG,35815,www.ironsoft.com,Event
001000000000000069,NovaMetric Technologies,SMB,Medium,Silver,Biotech,NA-West,Active,2025-08-24,2026-08-24,30775,Analytics Suite,2021-07-01,AU,32454,www.novametric.com,Outbound
001000000000000070,QuantumVector LLC,Enterprise,Low,Silver,Retail,NA-West,Active,2026-08-07,2027-08-07,1012723,AI Studio,2021-01-24,BR,2815,www.quantumvector.com,Partner
001000000000000071,SterlingLink Holdings,SMB,Medium,Platinum,Healthcare,LATAM,Active,2026-01-25,2027-01-25,68644,Data Sync,2023-05-01,JP,42206,www.sterlinglink.com,Event
001000000000000072,MeridianNexus Co,Enterprise,Low,Platinum,Public Sector,LATAM,Active,2025-09-29,2026-09-29,1083814,Analytics Suite,2021-03-24,IN,18331,www.meridiannexus.com,Inbound
001000000000000073,UnionTech LLC,Enterprise,High,Silver,Media,APAC,Active,2025-08-07,2026-08-07,801620,Edge Connect,2020-01-23,US,48354,www.uniontech.com,Event
001000000000000074,EmeraldWorks Holdings,Enterprise,High,Bronze,Biotech,LATAM,Active,2025-12-09,2026-12-09,473320,AI Studio,2024-10-27,DE,4105,www.emeraldworks.com,Outbound
001000000000000075,GraniteMetric Group,SMB,High,Gold,Media,NA-East,Active,2026-10-07,2027-10-07,25699,Data Sync,2021-03-24,JP,6600,www.granitemetric.com,Partner
001000000000000076,BlueStream Global,SMB,High,Gold,Financial Services,APAC,Active,2026-05-30,2027-05-30,48105,Core Platform,2024-06-16,JP,18993,www.bluestream.com,Partner
001000000000000077,RidgeStream Solutions,Enterprise,Low,Bronze,Education,EMEA,Active,2025-11-06,2026-11-06,130648,Data Sync,2021-03-28,SG,12519,www.ridgestream.com,Partner
001000000000000078,AuroraMetric LLC,SMB,High,Silver,Media,NA-East,Active,2025-09-27,2026-09-27,29738,AI Studio,2021-12-09,SG,35997,www.aurorametric.com,Inbound
001000000000000079,OrchardVision Solutions,SMB,Medium,Platinum,Education,NA-West,Active,2025-09-26,2026-09-26,29104,Edge Connect,2021-07-19,BR,13948,www.orchardvision.com,Outbound
001000000000000080,BrightSphere Systems,SMB,High,Silver,Media,LATAM,Active,2025-08-26,2026-08-26,46798,Analytics Suite,2019-10-27,BR,34937,www.brightsphere.com,Inbound
001000000000000081,BluePulse Inc,Enterprise,Low,Platinum,Media,APAC,Active,2025-07-20,2026-07-20,453113,Core Platform,2024-02-10,BR,13698,www.bluepulse.com,Inbound
001000000000000082,GraniteByte Industries,Enterprise,High,Gold,Technology,APAC,Active,2025-08-11,2026-08-11,975009,Analytics Suite,2019-08-07,AU,8330,www.granitebyte.com,Outbound
001000000000000083,HarborNetworks Solutions,SMB,High,Gold,Healthcare,NA-East,Expired,2025-02-22,2026-02-22,5396,Data Sync,2023-07-14,US,14013,www.harbornetworks.com,Inbound
001000000000000084,UnionByte Inc,SMB,High,Bronze,Media,LATAM,Active,2026-11-02,2027-11-02,9088,Data Sync,2022-02-16,UK,24805,www.unionbyte.com,Partner
001000000000000085,TitanNetworks Industries,Enterprise,Low,Silver,Manufacturing,LATAM,Expired,2025-06-01,2026-06-01,171917,Edge Connect,2023-01-11,FR,1822,www.titannetworks.com,Inbound
001000000000000086,Standard Metric Partners,Enterprise,Low,Silver,Public Sector,NA-East,Active,2025-07-31,2026-07-31,150014,Core Platform,2023-05-01,AU,58011,www.standard.com,Event
001000000000000087,CopperCompute Inc,Enterprise,Low,Gold,Technology,APAC,Active,2025-10-22,2026-10-22,175514,Core Platform,2021-07-26,UK,55111,www.coppercompute.com,Inbound
001000000000000088,SummitNetworks Corp,Enterprise,Medium,Silver,Education,EMEA,Active,2025-08-25,2026-08-25,389792,Analytics Suite,2020-11-24,JP,12783,www.summitnetworks.com,Inbound
001000000000000089,QuantumSignal Industries,Enterprise,High,Bronze,Manufacturing,NA-East,Active,2026-05-03,2027-05-03,804428,Core Platform,2024-06-26,FR,33258,www.quantumsignal.com,Partner
001000000000000090,DeltaLoop LLC,SMB,Medium,Bronze,Logistics,LATAM,Active,2026-10-18,2027-10-18,32265,Data Sync,2022-09-06,UK,2316,www.deltaloop.com,Partner
001000000000000091,Standard Micro Group,Enterprise,High,Silver,Energy,NA-West,Active,2026-08-11,2027-08-11,863981,AI Studio,2023-11-26,AU,38742,www.standard.com,Inbound
001000000000000092,BlueCompute Inc,SMB,High,Platinum,Telecom,NA-East,Active,2026-11-01,2027-11-01,60239,Edge Connect,2020-04-13,SG,22571,www.bluecompute.com,Event
001000000000000093,CrownVector Holdings,Enterprise,High,Silver,Technology,NA-East,Active,2026-09-12,2027-09-12,152243,Edge Connect,2023-05-10,US,24705,www.crownvector.com,Event
001000000000000094,SableLogic Technologies,Enterprise,Medium,Silver,Media,APAC,Active,2025-08-05,2026-08-05,162534,Analytics Suite,2024-03-23,US,45105,www.sablelogic.com,Outbound
001000000000000095,UnionDynamics Industries,SMB,Low,Platinum,Education,EMEA,Active,2025-12-23,2026-12-23,39152,AI Studio,2023-01-26,DE,17729,www.uniondynamics.com,Partner
001000000000000096,PioneerCore Group,Enterprise,High,Gold,Logistics,APAC,Active,2026-04-22,2027-04-22,1175131,Core Platform,2023-08-30,FR,57179,www.pioneercore.com,Outbound
001000000000000097,EmeraldByte Corp,SMB,Medium,Silver,Telecom,NA-East,Active,2026-05-02,2027-05-02,33778,Data Sync,2025-02-14,AU,54676,www.emeraldbyte.com,Partner
001000000000000098,MeridianCompute Technologies,Enterprise,Low,Silver,Logistics,LATAM,Active,2026-11-06,2027-11-06,618474,Analytics Suite,2021-09-19,SG,42473,www.meridiancompute.com,Inbound
001000000000000099,Allied Digital Co,SMB,Low,Bronze,Manufacturing,LATAM,Expired,2025-05-02,2026-05-02,40674,Data Sync,2021-11-22,AU,51969,www.allied.com,Inbound
001000000000000100,CascadeLink Partners,SMB,Medium,Bronze,Technology,EMEA,Active,2025-11-12,2026-11-12,49856,Data Sync,2021-03-16,DE,26065,www.cascadelink.com,Event
001000000000000101,NorthFabric LLC,Enterprise,Low,Silver,Healthcare,NA-East,Active,2025-08-12,2026-08-12,130272,Analytics Suite,2021-02-25,JP,58770,www.northfabric.com,Outbound
001000000000000102,PacificLoop Inc,Enterprise,High,Silver,Financial Services,APAC,Active,2026-08-09,2027-08-09,554051,Core Platform,2019-07-03,BR,56209,www.pacificloop.com,Partner
001000000000000103,SableVector Co,SMB,Medium,Bronze,Financial Services,APAC,Expired,2025-06-30,2026-06-30,45309,Core Platform,2021-05-31,SG,55106,www.sablevector.com,Outbound
001000000000000104,KeystoneMicro Holdings,Enterprise,Medium,Silver,Media,NA-East,Active,2026-12-13,2027-12-13,512497,Edge Connect,2019-09-16,AU,38887,www.keystonemicro.com,Inbound
001000000000000105,SummitNetworks Solutions,Enterprise,Low,Bronze,Telecom,NA-West,Active,2026-09-24,2027-09-24,887219,Core Platform,2020-06-30,IN,19515,www.summitnetworks.com,Event
001000000000000106,CedarAnalytics Co,Enterprise,High,Silver,Healthcare,NA-West,Active,2026-04-17,2027-04-17,538324,Core Platform,2021-09-26,BR,38960,www.cedaranalytics.com,Outbound
001000000000000107,MeridianMetric Corp,Enterprise,Medium,Platinum,Energy,EMEA,Active,2025-07-24,2026-07-24,613573,Data Sync,2022-01-24,AU,40877,www.meridianmetric.com,Outbound
001000000000000108,GraniteStream Industries,Enterprise,Medium,Gold,Manufacturing,NA-West,Active,2026-02-12,2027-02-12,1083744,Analytics Suite,2023-09-10,BR,37017,www.granitestream.com,Outbound
001000000000000109,TitanDigital Systems,Enterprise,High,Silver,Biotech,NA-East,Active,2025-12-18,2026-12-18,913389,Edge Connect,2023-08-25,FR,22983,www.titandigital.com,Inbound
001000000000000110,UnionVision LLC,Enterprise,Low,Gold,Logistics,EMEA,Active,2025-08-26,2026-08-26,1106753,Data Sync,2019-07-02,AU,13880,www.unionvision.com,Inbound
001000000000000111,QuantumVision Technologies,Enterprise,Low,Silver,Technology,NA-West,Active,2025-08-17,2026-08-17,965190,Data Sync,2023-12-11,US,40973,www.quantumvision.com,Outbound
001000000000000112,Pan-Atlantic Analytics Holdings,Enterprise,High,Silver,Healthcare,APAC,Active,2025-08-13,2026-08-13,1172401,Edge Connect,2022-10-09,IN,10428,www.pan-atlantic.com,Partner
001000000000000113,CrownLoop LLC,SMB,High,Bronze,Education,NA-East,Active,2026-06-21,2027-06-21,40242,Data Sync,2020-07-25,DE,8808,www.crownloop.com,Inbound
001000000000000114,LarkWorks Co,Enterprise,High,Bronze,Biotech,APAC,Active,2026-12-06,2027-12-06,309464,Data Sync,2024-07-06,AU,36675,www.larkworks.com,Outbound
001000000000000115,UnionWorks Technologies,Enterprise,High,Silver,Biotech,EMEA,Expired,2025-03-10,2026-03-10,433942,Edge Connect,2021-02-24,US,57207,www.unionworks.com,Partner
001000000000000116,SableWorks Industries,Enterprise,High,Silver,Logistics,NA-West,Active,2025-10-09,2026-10-09,1141847,Core Platform,2019-08-29,UK,325,www.sableworks.com,Partner
001000000000000117,CascadeGrid Solutions,SMB,Medium,Silver,Logistics,LATAM,Active,2025-08-07,2026-08-07,16631,Edge Connect,2020-09-30,AU,4346,www.cascadegrid.com,Event
001000000000000118,CedarLogic Group,Enterprise,Medium,Silver,Logistics,LATAM,Active,2026-08-21,2027-08-21,603430,Core Platform,2021-01-30,DE,13307,www.cedarlogic.com,Inbound
001000000000000119,TitanMetric Co,Enterprise,High,Platinum,Media,EMEA,Expired,2025-06-28,2026-06-28,678238,AI Studio,2025-06-06,BR,25280,www.titanmetric.com,Inbound
001000000000000120,CrownLink Technologies,Enterprise,Medium,Gold,Public Sector,NA-West,Active,2026-06-05,2027-06-05,899811,Core Platform,2020-09-15,IN,52488,www.crownlink.com,Inbound
001000000000000121,GraniteTech Solutions,Enterprise,Low,Platinum,Retail,NA-West,Active,2025-09-26,2026-09-26,293855,Analytics Suite,2023-11-13,FR,57460,www.granitetech.com,Inbound
001000000000000122,DeltaWorks Solutions,SMB,Medium,Silver,Technology,NA-East,Active,2025-07-28,2026-07-28,44402,Analytics Suite,2022-10-12,UK,45935,www.deltaworks.com,Partner
001000000000000123,Standard Analytics Corp,Enterprise,Low,Silver,Financial Services,LATAM,Active,2025-08-22,2026-08-22,731217,Core Platform,2024-08-18,US,16588,www.standard.com,Partner
001000000000000124,NovaData Global,Enterprise,High,Platinum,Energy,NA-East,Expired,2025-05-02,2026-05-02,1133490,Edge Connect,2021-11-14,SG,413,www.novadata.com,Event
001000000000000125,TitanDynamics Inc,Enterprise,Medium,Silver,Logistics,NA-West,Active,2025-10-04,2026-10-04,1187934,Data Sync,2024-09-04,FR,12352,www.titandynamics.com,Outbound
001000000000000126,VanguardLabs Holdings,SMB,High,Gold,Technology,NA-East,Active,2026-10-14,2027-10-14,60976,AI Studio,2020-06-02,DE,47160,www.vanguardlabs.com,Partner
001000000000000127,QuantumWave Industries,Enterprise,High,Silver,Retail,LATAM,Active,2026-01-25,2027-01-25,1082311,Data Sync,2021-11-01,JP,12924,www.quantumwave.com,Outbound
001000000000000128,VertexNexus Co,SMB,High,Silver,Biotech,NA-West,Expired,2025-06-22,2026-06-22,53629,Edge Connect,2020-09-30,BR,48038,www.vertexnexus.com,Inbound
001000000000000129,EmeraldGrid Technologies,Enterprise,Medium,Bronze,Education,EMEA,Active,2025-07-17,2026-07-17,260708,Edge Connect,2020-01-11,FR,56973,www.emeraldgrid.com,Inbound
001000000000000130,MeridianWave Technologies,SMB,High,Bronze,Media,APAC,Active,2025-08-09,2026-08-09,58090,Data Sync,2020-10-18,FR,15676,www.meridianwave.com,Event
001000000000000131,BeaconGrid Partners,Enterprise,Medium,Gold,Public Sector,NA-East,Active,2026-07-18,2027-07-18,853057,Core Platform,2023-09-05,DE,27957,www.beacongrid.com,Inbound
001000000000000132,NovaCompute Co,SMB,High,Gold,Retail,APAC,Active,2026-10-23,2027-10-23,53344,Edge Connect,2024-08-01,AU,58187,www.novacompute.com,Event
001000000000000133,ApexLink Industries,SMB,Low,Gold,Technology,NA-East,Active,2026-11-05,2027-11-05,58707,Data Sync,2023-04-08,BR,56729,www.apexlink.com,Outbound
001000000000000134,UnionLink Corp,Enterprise,High,Silver,Healthcare,NA-East,Active,2025-11-05,2026-11-05,911251,Core Platform,2019-08-26,JP,19302,www.unionlink.com,Outbound
001000000000000135,RidgeData Systems,SMB,High,Silver,Retail,NA-West,Expired,2025-06-27,2026-06-27,35336,Analytics Suite,2020-01-21,AU,9758,www.ridgedata.com,Partner
001000000000000136,CrownWave Group,SMB,High,Silver,Technology,APAC,Active,2025-08-14,2026-08-14,9648,AI Studio,2020-10-04,DE,48708,www.crownwave.com,Event
001000000000000137,BeaconSphere Co,SMB,High,Gold,Energy,NA-East,Active,2026-07-21,2027-07-21,24589,Analytics Suite,2025-03-26,BR,56894,www.beaconsphere.com,Partner
001000000000000138,CopperData LLC,SMB,High,Gold,Financial Services,APAC,Active,2025-08-16,2026-08-16,52416,Data Sync,2022-08-24,SG,46556,www.copperdata.com,Event
001000000000000139,SilverVision Partners,SMB,High,Gold,Education,NA-West,Active,2026-08-07,2027-08-07,57057,Data Sync,2020-07-25,AU,39882,www.silvervision.com,Partner
001000000000000140,VertexWorks Group,Enterprise,Low,Silver,Technology,APAC,Expired,2025-01-02,2026-01-02,169847,Data Sync,2019-10-02,FR,33934,www.vertexworks.com,Event
001000000000000141,AuroraSystems Holdings,SMB,Low,Gold,Healthcare,APAC,Active,2026-10-02,2027-10-02,19137,Edge Connect,2024-12-15,AU,10799,www.aurorasystems.com,Inbound
001000000000000142,IronVision Co,Enterprise,Low,Gold,Media,LATAM,Active,2026-07-24,2027-07-24,441169,Data Sync,2021-06-02,JP,7888,www.ironvision.com,Partner
001000000000000143,CedarPulse Group,SMB,High,Bronze,Manufacturing,APAC,Active,2026-07-07,2027-07-07,63256,Edge Connect,2019-07-13,AU,56670,www.cedarpulse.com,Outbound
001000000000000144,CobaltNetworks Corp,SMB,Low,Gold,Retail,APAC,Active,2025-07-23,2026-07-23,28488,Data Sync,2025-03-21,IN,39173,www.cobaltnetworks.com,Inbound
001000000000000145,CobaltDigital Holdings,Enterprise,High,Silver,Logistics,NA-East,Active,2026-09-03,2027-09-03,86688,Data Sync,2023-05-14,US,37212,www.cobaltdigital.com,Inbound
001000000000000146,NovaForge Technologies,SMB,High,Bronze,Public Sector,APAC,Expired,2025-05-22,2026-05-22,63897,Analytics Suite,2021-11-01,UK,12821,www.novaforge.com,Event
001000000000000147,NorthDynamics Group,SMB,Medium,Bronze,Healthcare,NA-West,Active,2025-08-09,2026-08-09,28859,AI Studio,2019-08-29,UK,1604,www.northdynamics.com,Partner
